"","zip","month_date","population","new_cases_in_frame","plot_var_dis","plot_var_cont"
"1","90620",Mar 2020,45709,10,"5-30",21.8775295893588
"2","90620",Apr 2020,45709,42,"60-120",91.8856242753068
"3","90620",May 2020,45709,43,"60-120",94.0733772342427
"4","90620",Jun 2020,45709,214,"240-480",468.179133212278
"5","90620",Jul 2020,45709,275,">480",601.632063707366
"6","90620",Aug 2020,45709,114,"240-480",249.40383731869
"7","90620",Sep 2020,45709,85,"120-240",185.95900150955
"8","90620",Oct 2020,45709,85,"120-240",185.95900150955
"9","90620",Nov 2020,45709,325,">480",711.01971165416
"10","90620",Dec 2020,45709,1587,">480",3471.96394583124
"11","90620",Jan 2021,45709,1144,">480",2502.78938502264
"12","90620",Feb 2021,45709,233,">480",509.746439432059
"13","90620",Mar 2021,45709,81,"120-240",177.207989673806
"14","90620",Apr 2021,45709,38,"60-120",83.1346124395633
"15","90620",May 2021,45709,23,"30-60",50.3183180555252
"16","90620",Jun 2021,45709,16,"30-60",35.004047342974
"17","90620",Jul 2021,45709,180,"240-480",393.795532608458
"18","90620",Aug 2021,45709,329,">480",719.770723489904
"19","90621",Mar 2020,36961,9,"5-30",24.3499905305592
"20","90621",Apr 2020,36961,22,"30-60",59.5221990747004
"21","90621",May 2020,36961,48,"120-240",129.866616162983
"22","90621",Jun 2020,36961,178,">480",481.588701604394
"23","90621",Jul 2020,36961,284,">480",768.377478964314
"24","90621",Aug 2020,36961,132,"240-480",357.133194448202
"25","90621",Sep 2020,36961,67,"120-240",181.272151727497
"26","90621",Oct 2020,36961,105,"240-480",284.083222856524
"27","90621",Nov 2020,36961,390,">480",1055.16625632423
"28","90621",Dec 2020,36961,1384,">480",3744.48743269933
"29","90621",Jan 2021,36961,821,">480",2221.26024728768
"30","90621",Feb 2021,36961,136,"240-480",367.955412461784
"31","90621",Mar 2021,36961,43,"60-120",116.338843646005
"32","90621",Apr 2021,36961,35,"60-120",94.6944076188415
"33","90621",May 2021,36961,11,"5-30",29.7610995373502
"34","90621",Jun 2021,36961,18,"30-60",48.6999810611185
"35","90621",Jul 2021,36961,132,"240-480",357.133194448202
"36","90621",Aug 2021,36961,221,">480",597.927545250399
"37","90623",Mar 2020,16309,8,"30-60",49.0526703047397
"38","90623",Apr 2020,16309,6,"30-60",36.7895027285548
"39","90623",May 2020,16309,7,"30-60",42.9210865166473
"40","90623",Jun 2020,16309,45,"240-480",275.921270464161
"41","90623",Jul 2020,16309,56,"240-480",343.368692133178
"42","90623",Aug 2020,16309,14,"60-120",85.8421730332945
"43","90623",Sep 2020,16309,20,"120-240",122.631675761849
"44","90623",Oct 2020,16309,9,"30-60",55.1842540928322
"45","90623",Nov 2020,16309,67,"240-480",410.816113802195
"46","90623",Dec 2020,16309,353,">480",2164.44907719664
"47","90623",Jan 2021,16309,232,">480",1422.52743883745
"48","90623",Feb 2021,16309,33,"120-240",202.342265007051
"49","90623",Mar 2021,16309,14,"60-120",85.8421730332945
"50","90623",Apr 2021,16309,8,"30-60",49.0526703047397
"51","90623",May 2021,16309,4,"5-30",24.5263351523699
"52","90623",Jun 2021,16309,4,"5-30",24.5263351523699
"53","90623",Jul 2021,16309,57,"240-480",349.50027592127
"54","90623",Aug 2021,16309,69,"240-480",423.07928137838
